,entry1,entry2
0,DB00945,DB00526
1,DB00945,DB00458
2,DB00945,DB00996
3,DB00945,DB00454
4,DB00945,DB00213
5,DB00945,DB00492
6,DB00945,DB01212
7,DB00945,DB00398
8,DB00945,DB00709
9,DB00945,DB00775
10,DB00945,DB00697
11,DB00945,DB00853
12,DB00945,DB01413
13,DB00945,DB00440
14,DB00945,DB00181
15,DB00945,DB00519
16,DB00945,DB01195
17,DB00945,DB00250
18,DB00945,DB01004
19,DB00945,DB00582
20,DB00945,DB00268
21,DB00945,DB01193
22,DB00945,DB01204
23,DB00945,DB01248
24,DB00945,DB00555
25,DB00945,DB00862
26,DB00945,DB00990
27,DB00945,DB00195
28,DB00945,DB00204
29,DB00945,DB00542
30,DB00945,DB01197
31,DB00945,DB00953
32,DB00945,DB01115
33,DB00945,DB00341
34,DB00945,DB00920
35,DB00945,DB00394
36,DB00945,DB00243
37,DB00945,DB02300
38,DB00945,DB00571
39,DB00945,DB00530
40,DB00945,DB00635
41,DB00945,DB00441
42,DB00945,DB01026
43,DB00945,DB00275
44,DB00945,DB00681
45,DB00945,DB00968
46,DB00945,DB00424
47,DB00945,DB00455
48,DB00945,DB01009
49,DB00945,DB01042
50,DB00945,DB00726
51,DB00945,DB00710
52,DB00945,DB01224
53,DB00945,DB00346
54,DB00945,DB00601
55,DB00945,DB00924
56,DB00945,DB00540
57,DB00945,DB00218
58,DB00945,DB00559
59,DB00945,DB01275
60,DB00945,DB00975
61,DB00945,DB00248
62,DB00945,DB00472
63,DB00945,DB00321
64,DB00945,DB00413
65,DB00945,DB00410
66,DB00945,DB00244
67,DB00945,DB01233
68,DB00945,DB00295
69,DB00945,DB01223
70,DB00945,DB01137
71,DB00945,DB00642
72,DB00945,DB00999
73,DB00945,DB00439
74,DB00945,DB00577
75,DB00945,DB00415
76,DB00945,DB00742
77,DB00945,DB00586
78,DB00945,DB00580
79,DB00945,DB00798
80,DB00945,DB01337
81,DB00945,DB00426
82,DB00945,DB00649
83,DB00945,DB00993
84,DB00945,DB01327
85,DB00945,DB00335
86,DB00945,DB00967
87,DB00945,DB00363
88,DB00945,DB00531
89,DB00945,DB00417
90,DB00945,DB00864
91,DB00945,DB00343
92,DB00945,DB00757
93,DB00945,DB01162
94,DB00945,DB00180
95,DB00945,DB00200
96,DB00945,DB00350
97,DB00945,DB00661
98,DB00945,DB00630
99,DB00945,DB01124
100,DB00945,DB00787
101,DB00945,DB00512
102,DB00945,DB00422
103,DB00945,DB01140
104,DB00945,DB00598
105,DB00945,DB00673
106,DB00945,DB00222
107,DB00945,DB06700
108,DB00945,DB00612
109,DB00945,DB01032
110,DB00945,DB00700
111,DB00945,DB00836
112,DB00945,DB00624
113,DB00945,DB00153
114,DB00945,DB00231
115,DB00945,DB00373
